课程名,课程编号,课序号,学分,任课教师,上课地点,上课日期,上课时间,课程介绍,起始周,结束周,开课院系
微积分A(1),$10421055$,10,5,王晓峰,五教5203,$1$,$1-2$,test,1,16,数学系
线性代数,$10421324$,10,4,荆文甲,五教5201,$1$,$1-1$,test,1,16,数学系
离散数学(1),$25100013$,0,3,刘世霞,五教5104,$5$,$5-2$,test,1,16,软件学院
程序设计基础,$34100063$,0,3,刘玉身,六教6A318,$2$,$5-3$,test,1,16,软件学院
智能无人系统,$00240321$,90,1,朱纪洪,新水300,$2$,$2-1$,test,1,8,计算机系
计算机科学基础,$10240022$,90,2,陈渝,五教5101,$3$,$3-6$,test,1,16,计算机系
思想道德与政治修养,$10680053$,0,3,晏扩明,技科楼3311,$1$,$1-4$,test,1,16,马克思主义学院
信息科学技术导论,$88888888$,0,1,王斌,大礼堂,$2$,$2-3$,test,3,10,信息学院
体育(1),$10720011$,9,1,王俊林,西大操场,$1$,$1-3$,test,1,16,体育部
实验室科研探究(1),$S1510031$,90,1,汤彬,(无),$7$,$7-6$,test,1,16,训练中心
创意软件,$14100042$,90,2,刘璘,I'm here.,$2$,$2-6$,test,1,8,软件学院
